"timestamp [UTC]",message
"3/17/2021, 11:09:17.238 PM","[270464972:2] RECV: Attach{name='qpid-jms:sender:ID:7390b087-f107-4523-8534-4deb811c35ed:35:456:1:**-test-out-**', handle=0, role=RECEIVER, sndSettleMode=UNSETTLED, rcvSettleMode=FIRST, source=Source{address='ID:7390b087-f107-4523-8534-4deb811c35ed:35:456:1', durable=NONE, expiryPolicy=SESSION_END, timeout=0, dynamic=false, dynamicNodeProperties=null, distributionMode=null, filter=null, defaultOutcome=null, outcomes=[amqp:accepted:list, amqp:rejected:list, amqp:released:list, amqp:modified:list], capabilities=null}, target=Target{address='**-test-out-**', durable=NONE, expiryPolicy=SESSION_END, timeout=0, dynamic=false, dynamicNodeProperties=null, capabilities=[topic]}, unsettled=null, incompleteUnsettled=false, initialDeliveryCount=null, maxMessageSize=1048576, offeredCapabilities=[DELAYED_DELIVERY], desiredCapabilities=null, properties=null}"
"3/17/2021, 11:09:17.238 PM","[270464972:2] RECV: Flow{nextIncomingId=1, incomingWindow=5000, nextOutgoingId=1, outgoingWindow=2047, handle=0, deliveryCount=0, linkCredit=1000, available=0, drain=false, echo=false, properties=null}"
"3/17/2021, 11:09:17.239 PM","[270464972:13] SENT: Detach{handle=0, closed=true, error=null}"
"3/17/2021, 11:09:17.240 PM","[270464972:13] RECV: Detach{handle=0, closed=true, error=null}"
"3/17/2021, 11:09:17.241 PM","[270464972:13] SENT: End{error=null}"
"3/17/2021, 11:09:17.242 PM","[270464972:13] RECV: End{error=null}"
"3/17/2021, 11:09:43.488 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:10:09.747 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:10:36.012 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:11:02.313 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:11:28.636 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:11:30.991 PM","[270464972:0] RECV: Flow{nextIncomingId=1, incomingWindow=5000, nextOutgoingId=1, outgoingWindow=2047, handle=null, deliveryCount=null, linkCredit=null, available=null, drain=false, echo=true, properties=null}"
"3/17/2021, 11:11:57.244 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:11:57.453 PM","[270464972:0] SENT: Empty Frame"
"3/17/2021, 11:12:23.520 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:12:49.779 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:13:16.038 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:13:42.372 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:13:57.454 PM","[270464972:0] SENT: Empty Frame"
"3/17/2021, 11:14:07.233 PM","[270464972:13] SENT: Begin{remoteChannel=null, nextOutgoingId=1, incomingWindow=2047, outgoingWindow=2147483647, handleMax=65535, offeredCapabilities=null, desiredCapabilities=null, properties=null}"
"3/17/2021, 11:14:07.237 PM","[270464972:13] RECV: Begin{remoteChannel=13, nextOutgoingId=1, incomingWindow=5000, outgoingWindow=2047, handleMax=255, offeredCapabilities=null, desiredCapabilities=null, properties=null}"
"3/17/2021, 11:14:07.237 PM","[270464972:13] SENT: Attach{name='qpid-jms:sender:ID:7390b087-f107-4523-8534-4deb811c35ed:35:457:1:**-test-out-**', handle=0, role=SENDER, sndSettleMode=UNSETTLED, rcvSettleMode=FIRST, source=Source{address='ID:7390b087-f107-4523-8534-4deb811c35ed:35:457:1', durable=NONE, expiryPolicy=SESSION_END, timeout=0, dynamic=false, dynamicNodeProperties=null, distributionMode=null, filter=null, defaultOutcome=null, outcomes=[amqp:accepted:list, amqp:rejected:list, amqp:released:list, amqp:modified:list], capabilities=null}, target=Target{address='**-test-out-**', durable=NONE, expiryPolicy=SESSION_END, timeout=0, dynamic=false, dynamicNodeProperties=null, capabilities=[topic]}, unsettled=null, incompleteUnsettled=false, initialDeliveryCount=0, maxMessageSize=null, offeredCapabilities=null, desiredCapabilities=[DELAYED_DELIVERY], properties=null}"
"3/17/2021, 11:14:07.242 PM","[270464972:13] RECV: Attach{name='qpid-jms:sender:ID:7390b087-f107-4523-8534-4deb811c35ed:35:457:1:**-test-out-**', handle=0, role=RECEIVER, sndSettleMode=UNSETTLED, rcvSettleMode=FIRST, source=Source{address='ID:7390b087-f107-4523-8534-4deb811c35ed:35:457:1', durable=NONE, expiryPolicy=SESSION_END, timeout=0, dynamic=false, dynamicNodeProperties=null, distributionMode=null, filter=null, defaultOutcome=null, outcomes=[amqp:accepted:list, amqp:rejected:list, amqp:released:list, amqp:modified:list], capabilities=null}, target=Target{address='**-test-out-**', durable=NONE, expiryPolicy=SESSION_END, timeout=0, dynamic=false, dynamicNodeProperties=null, capabilities=[topic]}, unsettled=null, incompleteUnsettled=false, initialDeliveryCount=null, maxMessageSize=1048576, offeredCapabilities=[DELAYED_DELIVERY], desiredCapabilities=null, properties=null}"
"3/17/2021, 11:14:07.242 PM","[270464972:13] RECV: Flow{nextIncomingId=1, incomingWindow=5000, nextOutgoingId=1, outgoingWindow=2047, handle=0, deliveryCount=0, linkCredit=1000, available=0, drain=false, echo=false, properties=null}"
"3/17/2021, 11:14:07.242 PM","[270464972:2] SENT: Detach{handle=0, closed=true, error=null}"
"3/17/2021, 11:14:07.243 PM","[270464972:2] RECV: Detach{handle=0, closed=true, error=null}"
"3/17/2021, 11:14:07.244 PM","[270464972:2] SENT: End{error=null}"
"3/17/2021, 11:14:07.246 PM","[270464972:2] RECV: End{error=null}"
"3/17/2021, 11:14:30.998 PM","[270464972:0] RECV: Flow{nextIncomingId=1, incomingWindow=5000, nextOutgoingId=1, outgoingWindow=2047, handle=null, deliveryCount=null, linkCredit=null, available=null, drain=false, echo=true, properties=null}"
"3/17/2021, 11:14:57.266 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:15:23.574 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:15:49.827 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:16:16.106 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:16:42.467 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:16:57.455 PM","[270464972:0] SENT: Empty Frame"
"3/17/2021, 11:17:08.827 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:17:30.958 PM","[270464972:0] RECV: Flow{nextIncomingId=1, incomingWindow=5000, nextOutgoingId=1, outgoingWindow=2047, handle=null, deliveryCount=null, linkCredit=null, available=null, drain=false, echo=true, properties=null}"
"3/17/2021, 11:17:57.222 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:18:23.481 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:18:49.817 PM","[270464972:0] RECV: Empty Frame"
"3/17/2021, 11:18:57.233 PM","[270464972:2] SENT: Begin{remoteChannel=null, nextOutgoingId=1, incomingWindow=2047, outgoingWindow=2147483647, handleMax=65535, offeredCapabilities=null, desiredCapabilities=null, properties=null}"
"3/17/2021, 11:18:57.234 PM","[270464972:2] RECV: Begin{remoteChannel=2, nextOutgoingId=1, incomingWindow=5000, outgoingWindow=2047, handleMax=255, offeredCapabilities=null, desiredCapabilities=null, properties=null}"
"3/17/2021, 11:18:57.235 PM","[270464972:2] SENT: Attach{name='qpid-jms:sender:ID:7390b087-f107-4523-8534-4deb811c35ed:35:458:1:**-test-out-**', handle=0, role=SENDER, sndSettleMode=UNSETTLED, rcvSettleMode=FIRST, source=Source{address='ID:7390b087-f107-4523-8534-4deb811c35ed:35:458:1', durable=NONE, expiryPolicy=SESSION_END, timeout=0, dynamic=false, dynamicNodeProperties=null, distributionMode=null, filter=null, defaultOutcome=null, outcomes=[amqp:accepted:list, amqp:rejected:list, amqp:released:list, amqp:modified:list], capabilities=null}, target=Target{address='**-test-out-**', durable=NONE, expiryPolicy=SESSION_END, timeout=0, dynamic=false, dynamicNodeProperties=null, capabilities=[topic]}, unsettled=null, incompleteUnsettled=false, initialDeliveryCount=0, maxMessageSize=null, offeredCapabilities=null, desiredCapabilities=[DELAYED_DELIVERY], properties=null}"
